[2025-11-09 20:31:06,120] 18 root - INFO- Initiate the data ingestion
[2025-11-09 20:32:33,624] 68 root - INFO- Performed train test split on the dataframe
[2025-11-09 20:32:33,625] 70 root - INFO- Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-09 20:32:33,625] 78 root - INFO- Exporting train and test file path.
[2025-11-09 20:32:33,728] 87 root - INFO- Exported train and test file path.
[2025-11-09 20:32:33,729] 22 root - INFO- Data initiation completed
[2025-11-09 20:32:33,737] 25 root - INFO- Initiate the data validation
[2025-11-09 20:32:33,870] 32 root - INFO- Required no of columns: 31
[2025-11-09 20:32:33,870] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 20:32:33,870] 32 root - INFO- Required no of columns: 31
[2025-11-09 20:32:33,872] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 20:32:34,145] 44 root - INFO- Entered initiate-data-transformation function of data transformation class
[2025-11-09 20:32:34,145] 46 root - INFO- Starting data transformation
[2025-11-09 20:32:34,249] 34 root - INFO- Entered get_data_transformer_object method of transformation
[2025-11-09 20:32:34,249] 37 root - INFO- Initialised knn imputer 
[2025-11-09 20:32:34,268] 44 root - INFO- Entered the save_object class
[2025-11-09 20:32:34,271] 49 root - INFO- Exited the save_object class
[2025-11-09 20:32:34,273] 34 root - INFO- model training started 
