[2025-11-09 22:39:36,715] 18 root - INFO- Initiate the data ingestion
[2025-11-09 22:39:54,133] 68 root - INFO- Performed train test split on the dataframe
[2025-11-09 22:39:54,134] 70 root - INFO- Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-09 22:39:54,134] 78 root - INFO- Exporting train and test file path.
[2025-11-09 22:39:54,228] 87 root - INFO- Exported train and test file path.
[2025-11-09 22:39:54,229] 22 root - INFO- Data initiation completed
[2025-11-09 22:39:54,277] 25 root - INFO- Initiate the data validation
[2025-11-09 22:39:54,390] 32 root - INFO- Required no of columns: 31
[2025-11-09 22:39:54,391] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 22:39:54,391] 32 root - INFO- Required no of columns: 31
[2025-11-09 22:39:54,391] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 22:39:54,669] 44 root - INFO- Entered initiate-data-transformation function of data transformation class
[2025-11-09 22:39:54,669] 46 root - INFO- Starting data transformation
[2025-11-09 22:39:54,786] 34 root - INFO- Entered get_data_transformer_object method of transformation
[2025-11-09 22:39:54,786] 37 root - INFO- Initialised knn imputer 
[2025-11-09 22:39:54,806] 44 root - INFO- Entered the save_object class
[2025-11-09 22:39:54,808] 49 root - INFO- Exited the save_object class
[2025-11-09 22:39:54,809] 34 root - INFO- model training started 
[2025-11-09 22:46:00,534] 44 root - INFO- Entered the save_object class
[2025-11-09 22:46:00,555] 49 root - INFO- Exited the save_object class
[2025-11-09 22:46:00,556] 127 root - INFO- Model trainer artifact 
