[2025-11-09 21:02:33,758] 18 root - INFO- Initiate the data ingestion
[2025-11-09 21:04:21,755] 68 root - INFO- Performed train test split on the dataframe
[2025-11-09 21:04:21,755] 70 root - INFO- Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-09 21:04:21,756] 78 root - INFO- Exporting train and test file path.
[2025-11-09 21:04:21,857] 87 root - INFO- Exported train and test file path.
[2025-11-09 21:04:21,858] 22 root - INFO- Data initiation completed
[2025-11-09 21:04:21,867] 25 root - INFO- Initiate the data validation
[2025-11-09 21:04:21,984] 32 root - INFO- Required no of columns: 31
[2025-11-09 21:04:21,985] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 21:04:21,985] 32 root - INFO- Required no of columns: 31
[2025-11-09 21:04:21,987] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 21:04:22,322] 44 root - INFO- Entered initiate-data-transformation function of data transformation class
[2025-11-09 21:04:22,322] 46 root - INFO- Starting data transformation
[2025-11-09 21:04:22,444] 34 root - INFO- Entered get_data_transformer_object method of transformation
[2025-11-09 21:04:22,445] 37 root - INFO- Initialised knn imputer 
[2025-11-09 21:04:22,463] 44 root - INFO- Entered the save_object class
[2025-11-09 21:04:22,466] 49 root - INFO- Exited the save_object class
[2025-11-09 21:04:22,468] 34 root - INFO- model training started 
[2025-11-09 21:10:19,785] 44 root - INFO- Entered the save_object class
[2025-11-09 21:10:19,814] 49 root - INFO- Exited the save_object class
[2025-11-09 21:10:19,815] 112 root - INFO- Model trainer artifact 
