[2025-11-09 20:50:38,464] 18 root - INFO- Initiate the data ingestion
[2025-11-09 20:53:40,865] 68 root - INFO- Performed train test split on the dataframe
[2025-11-09 20:53:40,866] 70 root - INFO- Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-09 20:53:40,869] 78 root - INFO- Exporting train and test file path.
[2025-11-09 20:53:40,967] 87 root - INFO- Exported train and test file path.
[2025-11-09 20:53:40,968] 22 root - INFO- Data initiation completed
[2025-11-09 20:53:40,983] 25 root - INFO- Initiate the data validation
[2025-11-09 20:53:41,082] 32 root - INFO- Required no of columns: 31
[2025-11-09 20:53:41,083] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 20:53:41,083] 32 root - INFO- Required no of columns: 31
[2025-11-09 20:53:41,083] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 20:53:41,384] 44 root - INFO- Entered initiate-data-transformation function of data transformation class
[2025-11-09 20:53:41,384] 46 root - INFO- Starting data transformation
[2025-11-09 20:53:41,482] 34 root - INFO- Entered get_data_transformer_object method of transformation
[2025-11-09 20:53:41,482] 37 root - INFO- Initialised knn imputer 
[2025-11-09 20:53:41,500] 44 root - INFO- Entered the save_object class
[2025-11-09 20:53:41,503] 49 root - INFO- Exited the save_object class
[2025-11-09 20:53:41,505] 34 root - INFO- model training started 
